Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Кизил;45;1;0,011;9
Клементины;47;0,85;0,15;10,32
Клубника;41;0,8;0,4;7,5
Клубника замороженная;35;0,43;0,11;7,03
Клубника ломтиками, замороженная, подслащенная;96;0,53;0,13;24,02
Клубника, сырая;32;0,67;0,3;5,68
Клубничный компот, клубника консервированная в сахарном сиропе;92;0,56;0,26;21,83
Клюква;28;0,5;0,2;3,7
Клюква;46;0,46;0,13;8,37
Клюква сушеная, подслащенная;308;0,17;1,09;77,5
Клюквенно-апельсиновый соус, консервированный;178;0,3;0,1;46,2
Клюквенный соус желеобразный, консервированный, OCEAN SPRAY;160;1,05;0,04;39,61
Клюквенный соус с цельными ягодами, консервированный, OCEAN SPRAY;158;0,75;0,05;39,2
Клюквенный соус, консервированный, подслащенный;159;0,9;0,15;39,3
Компот из земляники. Консервы;0;0;0;0
Компот из слив венгерка. Консервы;96;0,5;0,1;23,9
Компот из слив ренклод. Консервы;86;0,3;0;21,9
Концентрат малинового сока;221;3,04;1,34;52,09
Кратева священная;69;1,5;0,1;12,3
Крыжовник;45;0,7;0,2;9,1
Крыжовник;44;0,88;0,58;5,88
Крыжовник, консервированный в легком сахарном сиропе;73;0,65;0,2;16,35
Кумкват;71;1,88;0,86;9,4
Курага (абрикосы сушеные без косточки);232;5,2;0,3;51
Лайм;30;0,7;0,2;7,74
Лимон;34;0,9;0,1;3
Лимон без цедры, сырые;29;1,1;0,3;6,52
Лимонная цедра, сырая;47;1,5;0,3;5,4
Лимонник китайский, ягоды высушенные с семенами;416;0;40,3;13,3
Лимонник китайский, ягоды свежие без семян;47;0;0;2,2
Личи;66;0,83;0,44;15,23
Личи, сушеные;277;3,8;1,2;66,1
Логанова ягода, мороженная;55;1,52;0,31;7,72
Лонган;60;1,31;0,1;14,04
Лонган, сушеный;286;4,9;0,4;74
Малайское яблоко (Ямбоза);25;0,6;0,3;5,7
Малина;52;1,2;0,65;5,44
Малина;46;0,8;0,5;8,3
Малина дикая (индейцы северных великих равнин);62;1,12;0,28;6,35
Малина красная, замороженная;56;1,15;0,81;8,25
Малина красная, замороженная, подслащенная;103;0,7;0,16;21,76
Малина красная, консервированная в насыщенном сахарном сиропе;91;0,83;0,12;20,06
Малиновое пюре без семян, без сахара;41;1,02;0,87;7,09
Малиновое пюре с семенами, без сахара;55;1,1;0,97;7,21
Мамея (маммея), антильский абрикос, сырой;51;0,5;0,5;9,5
Манго;60;0,82;0,38;13,38
Манго сушеное подслащенное;319;2,45;1,18;76,18
Мангостан (мангустин), консервированный в сиропе;73;0,41;0,58;16,11
Мандарин;53;0,81;0,31;11,54
Мандарин;38;0,8;0,2;7,5
Мандарин, консервированный в легком сахарном сиропе;61;0,45;0,1;15,49
Мандарин, консервированный в собственном соку;37;0,62;0,03;8,87
Мандарин, консервированный в собственном соку, сухой продукт;38;0,75;0,04;8,21
Мандариновый джем;276;0,3;0;71,8
Маракуйя (пурпурная гранадилла);97;2,2;0,7;12,98
Можжевельник, шишкоягоды;130;0;0;28,7
Морошка;40;0,8;0,9;7,4
Морошка (Аляска);51;2,4;0,8;8,6
Мушмула;47;0,43;0,2;10,44
Нансе фрукт (бирсонима толстолистная), замороженный;73;0,66;1,16;9,47
Нансе фрукт (бирсонима толстолистная), консервированный в сиропе;95;0,56;1,28;15,79
Наранхилла, замороженная;25;0,44;0,22;4,8
Нектарин;44;1,06;0,32;8,85
Облепиха;82;1,2;5,4;5,7
Опунция (колючая груша);41;0,73;0,51;5,97
Папайя;43;0,47;0,26;9,12
Папайя, консервированная в насыщенном сиропе;206;0,14;0,55;54,33
Пектин жидкий;11;0;0;0
Персик;45;0,9;0,1;9,5
Персик;39;0,91;0,25;8,04
Персик сушеный;254;3;0,4;57,7
Персики ломтиками, замороженные, подслащенные;94;0,63;0,13;22,18
Персики сушеные;239;3,61;0,76;53,13
Персики сушеные (дегидрированные);325;4,89;1,03;83,18
Персики сушеные (дегидрированные), тушеные;133;2,01;0,42;34,14
Персики сушеные, тушеные без сахара;77;1,16;0,25;16,99
Персики сушеные, тушеные с сахаром;103;1,06;0,22;24,2
Персики, консервированные в водной заливке;24;0,44;0,06;4,81
Персики, консервированные в легком сиропе;54;0,45;0,03;13,25
Персики, консервированные в насыщенном сиропе;74;0,45;0,1;18,64
Персики, консервированные в насыщенном сиропе, приправленные;75;0,41;0,1;18,78
Персики, консервированные в насыщенном сиропе, сухой продукт;72;0,52;0,18;17,23
Персики, консервированные в собственном соку;44;0,63;0,03;10,27
Персики, консервированные в экстра-легком сиропе;42;0,4;0,1;10,1
Персики, консервированные в экстра-насыщенном сиропе;96;0,47;0,03;25,06
Персиковый компот. Консервы;88;0,3;0,1;21,6
Питанга (суринамская вишня), сырая;33;0,8;0,4;7,49
Плантан (овощной банан) жёлтый, жареный, латинский ресторан;236;1,42;7,51;37,57
Плантан (овощной банан) жёлтый, приготовленный;155;1,52;0,16;39,17
Плантан (овощной банан) жёлтый, сырой;122;1,3;0,35;30,19
Плантан (овощной банан) зелёный жареный;309;1,5;11,81;45,67
Плантан (овощной банан) зелёный, вареный;121;1,09;0,08;26,55
Плантан (овощной банан) зелёный, сырой;152;1,25;0,07;34,46
Плоды хлебного дерева, сырые;103;1,07;0,23;22,22
Помело;38;0,76;0,04;8,62
Порошок из плодов баобаба;250;3,69;0,47;35,15
Рамбутан, консервированный в сахарном сиропе;82;0,65;0,21;19,97
Ревень;21;0,9;0,2;2,74
Ревень, замороженный, неприготовленный;21;0,55;0,11;3,3
Ревень, замороженный, приготовленный с сахаром;116;0,39;0,05;29,2
Розелла, сырая;49;0,96;0,64;11,31
Рябина садовая красная;50;1,4;0,2;8,9
Рябина черноплодная;55;1,5;0,2;10,9
Саподилла, сырая;83;0,44;1,1;14,66
Сапота (мармеладный плод), сырая;124;1,45;0,46;26,7
Саусеп (сметанное яблоко) сырой;66;1;0,3;13,54
Сахарные яблоки (анона), сырые;94;2,06;0,29;19,24
Слива;46;0,7;0,28;10,02
Слива (садовая);49;0,8;0,3;9,6
Слива вишненосная, алыча;34;0,2;0,1;7,9
Слива дикая, северо-американская;91;0,43;0,17;15,95
Слива Мирабель (желтая слива);40;1;0;7,5
Слива синяя, консервированная в водной заливке;41;0,39;0,01;10,13
Слива синяя, консервированная в легком сахарном сиропе;63;0,37;0,1;15,38
Слива синяя, консервированная в насыщенном сахарном сиропе;89;0,36;0,1;22,34
Слива синяя, консервированная в собственном соку;58;0,51;0,02;14,25
Слива синяя, консервированная в экстра-насыщенном сахарном сиропе;101;0,36;0,1;25,31
Сливы, консервированные в насыщенном сиропе, сухой продукт;89;0,44;0,14;21,62
Смородина белая;42;0,5;0,2;8
Смородина красная;43;0,6;0,2;7,7
Смородина черная;44;1;0,4;7,3
Смородина черная, европейская;63;1,4;0,41;15,38
Смородина, красная и белая;56;1,4;0,2;9,5
Тамаринд, сырой;239;2,8;0,6;57,4
Терн;54;1,5;0,3;9,4
