Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Лещ морской;105;18,88;2,73;0
Лещ морской;143;21,3;6,4;0
Лещ морской, приготовленный на жару;135;24,21;3,5;0
Лещ холодного копчения;160;29,7;4,6;0
Лихия;105;21,1;2,3;0
Лосось атлантический (семга);153;20;8,1;0
Лосось атлантический (семга), дикий;142;19,84;6,34;0
Лосось атлантический (семга), дикий, приготовленный на жару;182;25,44;8,13;0
Лосось атлантический, разведенный на ферме, приготовленный на жару;206;22,1;12,35;0
Лосось атлантический, разведенный на ферме, сырой;208;20,42;13,42;0
Лосось каспийский соленый;269;21;20,5;0
Лунник;151;14,6;10,3;0
Луфарь океанический;109;19,7;3,4;0
Луфарь, приготовленный на жару;159;25,69;5,44;0
Луфарь, сырой;124;20,04;4,24;0
Луциан;86;19,8;0,8;0
Луциан желтохвостый;107;22,6;1,8;0
Лягушачьи лапки, сырые;73;16,4;0,3;0
Мавроликус;173;14;13;0
Макрель;113;20,7;3,4;0
Макрель испанская, приготовленная на жару;158;23,59;6,32;0
Макрель испанская, сырая;139;19,29;6,3;0
Макрель королевская, приготовленная на жару;134;26;2,56;0
Макрель королевская, сырая;105;20,28;2;0
Макрурус малоглазый;32;7,1;0,4;0
Макрурус тупорылый;68;13,3;1,6;0
Маринка;112;16,8;5;0
Масло, белужье, китовое (Аляска);900;0;100;0
Масло, китовое, гренландский или полярный кит (Аляска);900;0;100;0
Масло, моржовое (Аляска);900;0;100;0
Масляная рыба;113;18,8;4,2;0
Масляная рыба, приготовленная на жару;187;22,15;10,28;0
Масляная рыба, сырая;146;17,28;8,02;0
Медуза, сушеная с солью;36;5,5;1,4;0
Менек, приготовленный на жару;112;24,35;0,88;0
Менек, сырой;87;18,99;0,69;0
Мероу;104;19,4;2,9;0
Мидии;77;11,5;2;3,3
Мидия cockles (Аляска);79;13,5;0,7;4,7
Мидия голубая, приготовленная на пару;172;23,8;4,48;7,39
Мидия голубая, сырая;86;11,9;2,24;3,69
Минога каспийская;326;13,2;30,3;0
Минога речная, весенняя;119;13,5;7,2;0
Минога речная, осенняя;213;15,9;16,6;0
Минтай;72;15,9;0,9;0
Минтай припущенный, по 1-354;75;16,2;1,1;0
Минтай, Аляска;76;17,17;0,82;0
Минтай, Аляска, приготовленный;86;19,42;0,99;0
Минтай, приготовленный на жару;111;23,48;1,18;0
Минтай, сырой;56;12,19;0,41;0
Мойва весенняя;116;13,1;7,1;0
Мойва осенняя;217;13,6;18,1;0
Моллюск брюхоногий, печеный или жареный на открытом огне;130;26,3;1,2;1,7
Моллюск двустворчатый;86;14,67;0,96;3,57
Моллюск двустворчатый, консервированный, с маринадом;2;0,4;0,02;0,1
Моллюск двустворчатый, консервированный, сухой продукт без маринада;142;24,25;1,59;5,9
Моллюск двустворчатый, обжаренный в панировке;202;14,24;11,15;10,33
Моллюск двустворчатый, приготовленный на пару;148;25,55;1,95;5,13
