Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Сухой завтрак, готовый к употреблению, пшеница, дробленная, обычная, без сахара и соли;337;11,37;2,21;78,76
Сухой завтрак, фарина, крахмал, картофельная мука, обогащенная, приготовленная на воде, без соли;53;1,82;0,34;10,92
Тапиока (маниоковое саго), сухая;358;0,19;0,02;87,79
Тефф, неприготовленный;367;13,3;2,38;65,13
Тефф, приготовленный;101;3,87;0,65;17,06
Толокно;363;12,5;6;64,9
Тритикале;336;13,05;2,09;72,13
Тритикале;293;12,8;2,08;54,5
Хомини кукуруза (никстамализированная) белая, консервированная;72;1,48;0,88;11,76
Хомини кукуруза (никстамализированная), желтая, консервированная;72;1,48;0,88;11,76
Ячменная мука;284;10;1,6;56,1
Ячменная мука или крупка;345;10,5;1,6;64,42
Ячменный солод;361;10,28;1,84;71,2
Ячмень вылущенный;354;12,48;2,3;56,18
Ячмень, зерно цельное необработанное;288;10,3;2,4;56,4
Ячневая каша по 1-278;96;2,1;2,9;15,3
Ячневая крупа;313;10;1,3;65,4
