Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Хлеб из кукурузы, сухая смесь, необогащенная (содержит смесь для кукурузных кексов);418;7;12,2;63
Хлеб из овсяный хлеб;269;8,4;4,4;44,5
Хлеб из пшеничных зародышей;188;13,16;0;28,58
Хлеб из смеси злаков (цельнозерновой);265;13,36;4,23;35,94
Хлеб из смеси злаков, тосты (цельнозерновой);288;14,52;4,6;39,01
Хлеб из цельного зерна;252;12,45;3,5;36,71
Хлеб из цельного зерна, приготовленный по рецепту;278;8,4;5,4;45,4
Хлеб из цельного зерна, тосты;306;16,27;4,07;43,66
Хлеб пшеничный зерновой (мука в/с и зерно дробленое);228;8,6;1,4;45,1
Хлеб пшеничный из муки 1 сорта;235;7,9;1;48,3
Хлеб пшеничный из муки 2 сорта;228;8,6;1,3;45,2
Хлеб пшеничный из муки высшего сорта;235;7,6;0,8;49,2
Хлеб пшеничный из обойной муки;208;8;1,5;40,1
Хлеб пшеничный паляница (мука 1 сорта);243;8,3;1;49,9
Хлеб пшеничный соловецкий (мука 1 и 2 сорта);237;8,3;1,2;47,9
Хлеб ржано-пшеничный бородинский (мука ржаная обойная и пшеничная 2 сорта);201;6,8;1,3;39,8
Хлеб ржано-пшеничный рижский (мука ржаная сеяная и пшеничная 1 сорта);232;5,6;1,1;49,4
Хлеб ржано-пшеничный столовый (ржаная обдирная и пшеничная 2 сорта);201;7,7;1,4;37,7
Хлеб ржано-пшеничный украинский (мука ржаная обдирная и пшеничная обойная);198;6,6;1,2;39,6
Хлеб ржаной из обдирной муки;197;6,1;1,2;39,9
Хлеб ржаной из обойной муки;174;6,6;1,2;33,4
Хлеб ржаной из сеяной муки;210;4,9;1;44,8
Хлеб с бананом, на маргарине;326;4,3;10,5;53,5
Хлеб с изюмом, обогащенный;274;7,9;4,4;48
Хлеб с изюмом, тосты, обогащенный;297;8,6;4,8;52,2
Хлеб чиабатта;262;7,7;3,8;47,8
