Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Нагетсы (6) [Макдоналдс];268;17;14;18
Нагетсы [Макдоналдс];45;2,8;2,3;3,2
Напиток Апельсиновый сок McDonalds 400 мл [Макдоналдс];190;3;1;41
Напиток Двойной Эспрессо McDonalds [Макдоналдс];3;0,2;0,1;0,2
Напиток Капучино [Макдоналдс];105;5;5;7
Напиток Капучино McDonalds 300 мл [Макдоналдс];125;6;7;9
Напиток Кока-Кола McDonalds 400 мл [Макдоналдс];170;0;0;42
Напиток Кока-Кола Лайт McDonalds 400 мл [Макдоналдс];2;0,4;0;0
Напиток Кофе McDonalds 200 мл [Макдоналдс];7;0,6;0,2;0,6
Напиток Кофе Глясе [Макдоналдс];125;4;3;19
Напиток Кофе Глясе McDonalds [Макдоналдс];125;4;3;19
Напиток Кофе Латте [Макдоналдс];175;8;9;12
Напиток Кофе Латте McDonalds [Макдоналдс];125;6;7;10
Напиток Липтон Айс-Ти Зелёный McDonalds 400 мл [Макдоналдс];110;0;0;27
Напиток Липтон Айс-Ти Лимон McDonalds 400 мл [Макдоналдс];110;0;0;27
Напиток Спрайт McDonalds 400 мл [Макдоналдс];165;0,4;0;41
Напиток Фанта McDonalds 400 мл [Макдоналдс];185;0,4;0;46
Напиток Чай чёрный/зелёный McDonalds [Макдоналдс];0;0;0;0
Облепиховый Пунш [Макдоналдс];127;0,2;1,2;29
Овощной Салат [Макдоналдс];60;3;0;10
Овсяная Каша [Макдоналдс];154;4,3;4,1;23
Овсяная Каша с Джемом [Макдоналдс];200;4;4;35
Овсяная Каша с Клюквой и Изюмом [Макдоналдс];217;4,6;4,1;39
Овсяная Каша Стандартная [Макдоналдс];150;4;4;23
Омлет [Макдоналдс];305;18;14;26
Омлет с Беконом [Макдоналдс];341;19;17;27
Омлет с Ветчиной [Макдоналдс];344;24;15;27
Омлет Стандартный [Макдоналдс];305;18;14;26
Омлеттер [Макдоналдс];251;13;13;20
Острые Чикен Макнаггетс (6) [Макдоналдс];284;15;16;20
Острые Чикен Макнаггетс (9) [Макдоналдс];427;22;24;30
Панини Тоскана [Макдоналдс];616;31;34;46
Панини Тоскана без Соуса [Макдоналдс];553;30;28;45
Печенье с Кусочками Шоколада [Макдоналдс];345;6;18;41
Пирог с Вишней и Ревенем [Макдоналдс];175;2;9,7;19
Пирог с Вишней и Ревенем [Макдоналдс];291;3,4;16,2;32,3
Пирог Яблочный [Макдоналдс];276;3,1;14,6;32,2
Пирожное Чёрный Лес [Макдоналдс];386;3,8;26;35
Пирожок Клубника и Сливочный Сыр [Макдоналдс];258;2,9;15;29
Пирожок Лесные Ягоды [Макдоналдс];285;3;16;32
Пирожок Малина Крем-Чиз [Макдоналдс];273;3,2;15;32
Пирожок Малина Крем-Чиз [Макдоналдс];273;3,2;15;32
Пирожок Маракуйя [Макдоналдс];255;2;13;32
Пирожок Маракуйя и Сливочный Сыр [Макдоналдс];280;2,9;15;32
Пирожок по-Итальянски [Макдоналдс];163;3,2;6,6;23
Пирожок Пряное Яблоко [Макдоналдс];232;2,8;11;31
Пирожок с Вишней [Макдоналдс];249;2,8;12;32
Пирожок с Карельской Черникой [Макдоналдс];255;2,7;12;34
Пирожок с Картофелем и Грибами [Макдоналдс];130;3;6;17
Пирожок с Персиком [Макдоналдс];189;3;7,7;27
Пирожок с Яблоком и Корицей [Макдоналдс];166;3,3;7,7;21
Пирожок Черная Смородина [Макдоналдс];259;2,9;12;34
Пита Грик [Макдоналдс];286;13;14;26
Пита Грик с Говяжьей Котлетой [Макдоналдс];287;13;14;26
Пита Грик с Куриной Котлетой [Макдоналдс];260;14;9,4;29
Премиальный Яблочный Пирог [Макдоналдс];331;3,1;9;57
Профитроли [Макдоналдс];135;1,4;8,9;12
Пряный Чай Латте [Макдоналдс];305;8;10;46
Рич Лимониада [Макдоналдс];141;0;0;34
Рождественский пирожок Пряное яблоко [Макдоналдс];232;2,8;11;31
Рождественский Ягодный Пунш [Макдоналдс];79;0,2;0;20
Ролл с Креветками [Макдоналдс];359;11;11;52
Роял Бекон [Макдоналдс];548;33;30;36
Роял Де Люкс [Макдоналдс];570;31;31;40
Роял Чизбургер [Макдоналдс];514;30;26;38
Рулетики с Творогом, Изюмом и Курагой (3) [Макдоналдс];211;7;9,6;24
Салат Овощной (без Заправки) [Макдоналдс];45;2;0;8
Салат Овощной [Макдоналдс];68;2,5;3,9;4,4
Салат Овощной McDonalds [Макдоналдс];60;2;3;5
Салат Цезарь (без Заправки) [Макдоналдс];283;21;16;13
Салат Цезарь (без Заправки) [Макдоналдс];283;21;16;13
Салат Цезарь [Макдоналдс];283;21;16;13
Салат Цезарь McDonalds [Макдоналдс];190;15;10;9
Салат Цезарь без Заправки [Макдоналдс];195;15;10;10
Салат Цезарь с Курицей [Макдоналдс];283;21;16;13
Салатная Заправка 1000 Островов [Макдоналдс];204;1,1;19,5;6,6
Салатная Заправка Масло и Винный Уксус [Макдоналдс];105;0;11;3
Салатная Заправка Масло и Винный Уксус [Макдоналдс];308;0,1;30;8,3
Салатная Заправка Цезарь [Макдоналдс];251;3,5;22;7,3
Санрайз [Макдоналдс];180;0;0;40
Сахар [Макдоналдс];20;0;0;5
Сахар [Макдоналдс];400;0;0;100
Смузи Манго-Ананас [Макдоналдс];190;2;1;42
Смусси Клубника-Банан [Макдоналдс];175;2;1;38
Снек Ролл с Омлетом и Беконом [Макдоналдс];320;16;16;27
Снек Ролл с Омлетом и Свиной Котлетой [Макдоналдс];435;22;26;27
Снэк Бокс с Крыльями [Макдоналдс];866;38;46;73
Сок Яблочный [Макдоналдс];135;0;0;33
Соус 1000 Островов [Макдоналдс];78;0,3;7,4;2,8
Соус 1000 Островов [Макдоналдс];310;1;29;12
Соус Барбекю [Макдоналдс];47;0,2;0,3;11
Соус Барбекю [Макдоналдс];162;0,6;0,9;36,1
Соус барбекю McDonalds [Макдоналдс];48;0,2;0,3;11
Соус Горчичный [Макдоналдс];62;0,5;3,3;7,6
Соус Горчичный [Макдоналдс];57;0,6;3;7
Соус Карри [Макдоналдс];49;0,2;0,5;11
Соус Карри [Макдоналдс];170;0,7;1,7;37,9
Соус карри McDonalds [Макдоналдс];50;0;0;12
Соус кетчуп McDonalds [Макдоналдс];27;0;0,3;6,6
Соус Кисло-Сладкий [Макдоналдс];47;0,2;0,3;11
Соус Кисло-Сладкий [Макдоналдс];187;0,3;1,4;43,4
Соус кисло-сладкий McDonalds [Макдоналдс];49;0,1;0,3;12
Соус Клюквенный [Макдоналдс];182;0,1;0,7;42,6
Соус Коктейль [Макдоналдс];329;3,2;30;11,6
Соус Сальса [Макдоналдс];36;0,3;0,2;7,9
Соус Сладкий Чили [Макдоналдс];47;0,1;0;11
Соус Сметанный [Макдоналдс];60;0,6;3,4;6,9
Соус Сырный [Макдоналдс];90;0,5;9,3;1,5
Соус сырный McDonalds [Макдоналдс];89;0,6;9;1,4
Соус Цезарь [Макдоналдс];125;2;11;4
Соус Чесночный [Макдоналдс];84;0,3;7,8;3,3
Соус Чесночный [Макдоналдс];330;1;31;13
Соус Чураско [Макдоналдс];160;1,3;3,8;28,9
Соус Чураско [Макдоналдс];45;0,4;1,1;8,3
Спайси Гамбургер с Беконом [Макдоналдс];284;14;10;33
Спелая Вишня с Бисквитом [Макдоналдс];280;3,8;6,8;51
Спринг Роллы (4) [Макдоналдс];150;7;6;17
Стейк Хаус Классик [Макдоналдс];709;39;39;49
Стейкхаус [Макдоналдс];702;38;40;46
Стрипсы [Макдоналдс];180;11,2;8,4;15,2
Сыр Камамбер [Макдоналдс];240;10;15;17
Сырные Наггетсы Бри (4) [Макдоналдс];397;12;28;24
Сэндвич Биг Брекфаст Ролл [Макдоналдс];655;27;36;54
Сэндвич Биг Мак [Макдоналдс];495;27;25;40
Сэндвич Биг Тейсти [Макдоналдс];850;48;51;50
Сэндвич Биф а-ля Рус [Макдоналдс];580;29;31;44
Сэндвич Биф Ролл [Макдоналдс];520;20;29;43
Сэндвич Гамбургер [Макдоналдс];255;13;9;30
Сэндвич Двойной Чизбургер [Макдоналдс];440;27;23;31
Сэндвич Макчикен [Макдоналдс];390;19;18;38
Сэндвич Роял Де Люкс [Макдоналдс];495;27;27;36
Сэндвич Роял Чизбургер [Макдоналдс];505;32;27;34
Сэндвич Филе-о-фиш [Макдоналдс];350;15;16;37
Сэндвич Фиш Ролл [Макдоналдс];475;17;23;49
Сэндвич Фреш Ролл [Макдоналдс];610;25;38;40
Сэндвич Цезарь Ролл [Макдоналдс];552;19;32;46
Сэндвич Цезарь Ролл [Макдоналдс];695;28;43;49
Сэндвич Чизбургер [Макдоналдс];300;16;13;30
Сэндвич Чикен Бекон [Макдоналдс];665;27;37;61
Сэндвич Чикен Мифик [Макдоналдс];625;29;35;48
Сэндвич Чикен Эмменталь [Макдоналдс];625;29;35;48
Сэндвич Чикенбургер [Макдоналдс];310;15;12;36
Творожные Рулетики (2) [Макдоналдс];211;7;9,6;24
Техас Бургер [Макдоналдс];600;32;34;41
Техас Чикен [Макдоналдс];598;26;30;56
Тирамису [Макдоналдс];265;4;14;30
Торт Згапари [Макдоналдс];367;9,7;19;39
