Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Тмин, семена;333;19,77;14,59;11,9
Укроп, семена;305;15,98;14,54;34,07
Укроп, сушеный;253;19,96;4,36;42,22
Уксус бальзамический;88;0,49;0;17,03
Уксус винный 3%;9;0;0;0
Уксус винный, красный;19;0,04;0;0,27
Уксус спиртовой;18;0;0;0,04
Уксус столовый 9%;32;0;0;0
Уксус яблочный;21;0;0;0,93
Фенхель, семена;345;15,8;14,87;12,49
Хрен, корень;59;3,2;0,4;10,5
Хрен, соус приготовленный;48;1,18;0,69;7,99
Чабер, молотый;272;6,73;5,91;23,03
Чеснок, порошок;331;16,55;0,73;63,73
Чили, порошок;282;13,46;14,28;14,9
Шалфей, молотый;315;10,63;12,75;20,43
Шафран;310;11,43;5,85;61,47
Эстрагон (тархун), зелень свежая;24,8;1,5;0,008;5
Эстрагон, сушеный;295;22,77;7,24;42,82
