Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Слойка с Малиной [Пятерочка];270;4,5;13;30
Слойка с Сосиской [Пятерочка];346;8;20;33,5
Слойка с Сырной Начинкой [Пятерочка];390;10;23;35
Слойка с Яблоком [Пятерочка];290;3,5;13;39
Слойка со Смородиной [Пятерочка];347;5;17;44
Сметана [Пятерочка];160;2,6;15;3,6
Сок [Пятерочка];45;0;0;11
Сочень с Творогом [Пятерочка];240;9;7;34
Сухофрукты и Орехи [Пятерочка];590;13,5;46,1;29,4
Сыр Гауда 45% [Пятерочка];338;26;26;0
Сыр Голландский Красная Цена [Пятерочка];332;26,3;25,2;0
Сыр по-Российски Классический [Пятерочка];322;23;28;0
Сыр Пошехонский [Пятерочка];320;24,6;25,2;0
Сыр Российский Красная Цена [Пятерочка];342;22,5;28;0
Сыр Российский Красная Цена [Пятерочка];342;22,5;28;0
Сыр Сливочный Город Сыра [Пятерочка];343;9;30,8;7,5
"Сыр Творожный ""Свежий"" [Пятерочка]";122;11;7;3,8
Сыр Тильзитер [Пятерочка];337;25;24;0
Сыр Тильзитер Liebendorf [Пятерочка];320;23;25;0
Сыр Топленое Молоко [Пятерочка];353;24,2;24,3;0
Сырники [Пятерочка];209;18,5;5,7;21,4
Сырники из Творога Жареные Охлажденные [Пятерочка];214;13;8;22,5
Сырный Продукт [Пятерочка];360;23;28;0
Сырный Продукт Российский Классический [Пятерочка];323;22,8;25,8;0
Сырок Творожный [Пятерочка];363;10;23;29
Тарталетки для Икры [Пятерочка];480;7,5;25;49
Творог 0,5% [Пятерочка];90;18;0,5;3,3
Творог 1,7% [Пятерочка];85;18;1,7;3,3
Творог 1,8% [Пятерочка];93;18;1,8;1,3
Творог 5% [Пятерочка];121;16;5;3
Творог 9% [Пятерочка];160;16;9;3
Творожная Запеканка с Изюмом [Пятерочка];243;14;6,9;31
Томатная Паста [Пятерочка];82;4,7;0,4;14,9
Торнадо Энергетик [Пятерочка];55;0;0;13,5
Треска [Пятерочка];73;16;1;0
Турновер с Ветчиной и Сыром [Пятерочка];370;8;26;27
Турновер с Картофелем и Грибами [Пятерочка];327;5;20;32
Тыква Баттернат [Пятерочка];45;1;0,1;9,7
Уголок с Творожной Начинкой [Пятерочка];319;8,5;12,8;42,3
