Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Оладушки с Варёной Сгущёнкой [Яшкино];360;6;14;52
Оладушки с Варёной Сгущёнкой [Яшкино];350;6;12;55
Оладушки с Шоколадной Начинкой [Яшкино];345;6;12;53
Панини с Яблочным Джемом [Яшкино];425;5,2;20,2;53
Печенье [Яшкино];460;7,5;17;68
Печенье Forsite [Яшкино];480;7;23;63
Печенье Forsite Шоколадно-Сливочный Вкус [Яшкино];490;6,5;24;61
Печенье Апельсин [Яшкино];294;3,5;4,5;60
Печенье Вишня [Яшкино];360;3;6,5;72
Печенье Воздушное Суфле [Яшкино];390;6;10;69
Печенье Галета [Яшкино];360;10;5,5;67
Печенье Грановская Кунжутка [Яшкино];540;11;34;49,2
Печенье Дженс [Яшкино];500;7;24;63
Печенье Затяжное с Клубничным Кремом [Яшкино];500;6;24;65
Печенье Затяжное со Сливочным Кремом [Яшкино];490;6;23;64
Печенье Клубника [Яшкино];295;3,5;4;61
Печенье Мария [Яшкино];410;8;9,5;72
Печенье Овсяное [Яшкино];490;7;24;63
Печенье Овсяночка [Яшкино];466;6;18,3;71,3
Печенье Рок Фор [Яшкино];470;7,5;19;66
Печенье с Клубничным Кремом [Яшкино];490;6;23;64
Печенье с Шоколадными Каплями [Яшкино];455;5;20;62
"Печенье Сахарное ""Райский День с Сахаром"" [Яшкино]";460;7;18;67
Печенье Сахарное Дивная Даренка [Яшкино];450;6,6;19;64
Печенье Сахарное К Кофе со Вкусом Пломбира [Яшкино];470;7;20;66
Печенье Сахарное Кругляш [Яшкино];440;5;15;71
Печенье Сахарное Рок Фор [Яшкино];460;7,5;19;65
Печенье Сахарное Сливочное [Яшкино];450;7,5;17;66
Печенье Сдобное «Клубника» [Яшкино];295;3,5;4;61
Печенье Сдобное [Яшкино];480;7;24;58
Печенье Сдобное Американское [Яшкино];480;5,5;23;62
Печенье Сдобное Апельсин [Яшкино];360;3;6,5;72
Печенье Сдобное Ванильное Кольцо [Яшкино];520;6,5;29;58
Печенье Сдобное Вишня [Яшкино];295;3,5;4;61
Печенье Сдобное Дженс [Яшкино];470;6,5;24;57
Печенье Сдобное Клубника [Яшкино];360;3,5;6,5;72
Печенье Сдобное с Каплями [Яшкино];480;5,7;23;62
Печенье Сдобное с Цветным Драже [Яшкино];460;5,5;20;65
Печенье Сдобное Шоколадное Курабье [Яшкино];520;6,5;30;56
Печенье со Сливочным Вкусом [Яшкино];505;6,9;24,4;64,7
