Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Шульо мелна (блины овсяные - марийское национальное блюдо);195,4;5,5;10,5;21
Яблоки в грильяже;146,1;0,3;2,8;31,9
Яблоки в желе;111,1;3;3,4;18,3
Яблоки печеные;65,8;0,6;1,4;13,6
Яблоки печеные;169,1;0,5;0,4;43,6
Яблоки печеные с брусникой;105,8;0,3;0,3;27,2
Яблоки со взбитыми сливками;113,9;1,9;5;16,4
Яблоки, фаршированные морковью;78,4;0,8;2,8;13,4
Яблочно-сливочный соус;97,1;1,2;6,1;10,1
Яблочный крем;112,8;0,6;4,7;18,2
Ягодный мусс;167;1,2;0,8;41,2
Яичный мусс;142,3;5,9;3,5;23,4
