Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Буженина [Ашан];250;10;23;0
Буженина Запеченая [Ашан];308;14;28;0
Буженина Купеческая [Ашан];273;12;25;0
Булгур [Ашан];370;12;1,5;76
Булгур Био [Ашан];340;13,2;1,7;63
Булка с Корицей и Миндалём [Ашан];398;9,3;8,9;68
Булка Французская [Ашан];260;8,2;0,9;54,9
Булочка [Ашан];267;8,2;0,9;54,9
Булочка 8 Злаков [Ашан];227;13,9;5,3;43,7
Булочка Баварская [Ашан];195;5,5;1,5;42
Булочка Бургер Дарк [Ашан];249;6,1;4,5;46,1
Булочка Гурман [Ашан];240;8,5;1;49
Булочка Даллас [Ашан];402;8,5;16,9;54,2
Булочка Кайзерка [Ашан];232;7;1,7;47,2
Булочка Кукурузная [Ашан];260;12;2,5;28,5
Булочка Отрубная [Ашан];240;7,5;3,5;44
Булочка по-Деревенски [Ашан];262;8,8;1,1;54,4
Булочка Пряный Аромат [Ашан];216;7,8;0,9;43,3
Булочка Пшенично-Ржаная [Ашан];223;7,5;1;46
Булочка Ржано-Пшеничная [Ашан];204;6,8;1,2;40
Булочка с Изюмом [Ашан];263;7,5;2,9;50,5
Булочка с Кунжутом [Ашан];267;8,2;0,9;54,9
Булочка с Луком [Ашан];267;8,2;0,9;54,9
Булочка с Семгой [Ашан];180;10,3;13,8;23,1
Булочка с Солодом и Кориандром [Ашан];249;6,1;1,1;43
Булочка с Сыром [Ашан];249;4,7;14,5;20,2
Булочка Техас [Ашан];416;8,4;16,2;59
Булочное Изделие Кукурузное [Ашан];273;11;4,8;46,4
Бургер Говяжий [Ашан];300;10;29;0
Бургер из Телятины [Ашан];89;16;3;0
Бурек с Брокколи [Ашан];230;8;11;31
Бурек с Яблочной Начинкой [Ашан];290;6;9;45
Буреки Курица с Паприкой [Ашан];249;7,8;1,3;51,1
Бурый Рис [Ашан];340;7,5;2;73
Бутерброд с Курицей [Ашан];130;8,5;7,5;9
Ванильный Соевый Био Напиток [Ашан];61;3,7;2;6,8
Вареники с Картофелем и Грибами [Ашан];170;5,5;3,5;28
Вареники с Картошкой [Ашан];174;1,7;3,3;26,9
Вареники с Творогом [Ашан];220;12;5;31
Варенье из Апельсинов [Ашан];238;0,4;0,1;57,7
