Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Заменитель грудного молока, MEAD JOHNSON, LACTOFREE, с железом, порошок, невосстановленный;521;10,85;28;57
Заменитель грудного молока, MEAD JOHNSON, NEXT STEP PROSOBEE, порошок, невосстановленный;480;15,6;21;57,1
Заменитель грудного молока, MEAD JOHNSON, NEXT STEP,  PROSOBEE LIPIL, порошок, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кислота;480;15,6;21;57,1
Заменитель грудного молока, MEAD JOHNSON, NEXT STEP, PROSOBEE, LIPIL, готовый к употреблению, с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кис;67;2,14;2,91;8,09
Заменитель грудного молока, MEAD JOHNSON, PREGESTIMIL, с железом, невосстановленный;517;14;28;52,2
Заменитель грудного молока, MEAD JOHNSON, PREGESTIMIL, с железом, приготовленный из порошка;67;1,86;3,7;6,54
Заменитель грудного молока, MEAD JOHNSON, PROSOBEE LIPIL, с железом, готовый к употреблению,  с ARA (Арахидоновая кислота) и DHA-Докозагексаеновая кис;64;1,64;3,5;6,47
Заменитель грудного молока, MEAD JOHNSON, PROSOBEE, с железом, готовый к употреблению;63;1,64;3,5;6,11
Заменитель грудного молока, MEAD JOHNSON, PROSOBEE, с железом, жидкий концентрат, невосстановленный;131;3,19;7,13;13,58
Заменитель грудного молока, MEAD JOHNSON,NEXT STEP PROSOBEE, приготовленный из порошка;67;2,14;2,91;8,08
Заменитель грудного молока, NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, готовый к употреблению;65;1,7;2,7;8,54
Заменитель грудного молока, NESTLE (Нестле), GOOD START 2 ESSENTIALS, с железом, жидкий концентрат, невосстановленный;125;3,25;5,13;16,5
Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, готовый к употреблению;66;1,45;3,37;7,39
Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, жидкий концентрат, невосстановленный;127;2,79;6,5;14,2
Заменитель грудного молока, NESTLE (Нестле), GOOD START SUPREME, с железом, порошок;509;11,3;26,1;57,32
Заменитель грудного молока, NESTLE, GOOD START 2 ESSENTIALS, с железом, порошок;471;12,2;19,3;62,23
Заменитель грудного молока, NESTLE, GOOD START ESSENTIALS  соя, с железом, порошок;502;12,5;25,5;55,7
Заменитель грудного молока, NESTLE, GOOD START ESSENTIALS, соя, с железом, жидкий концентрат, невосстановленный;128;3,2;6,5;14,1
Заменитель грудного молока, NESTLE,GOOD START ESSENTIALS SOY, с железом, готовый к употреблению;65;1,63;3,3;7,17
Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, готовый к употреблению (ранее WYETH-AYERST);63;1,4;3,5;6,4
Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, жидкий концентрат, невосстановленный (ранее WYETH-AYERST);130;2,9;7;13,9
Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, порошок, (ранее WYETH-AYERST);524;12;28;56
Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, готовый к употреблению, (ранее WYETH-AYERST);63;1,8;3,5;6,09
Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, жидкий концентрат, (ранее WYETH-AYERST);126;3,6;7;12,18
Заменитель грудного молока, PBM PRODUCTS, ULTRA BRIGHT BEGINNINGS, соя, порошок, (ранее WYETH-AYERST);508;13,6;27,2;52,2
Заменитель грудного молока, PBM PRODUCTS, бренд-стор, готовый к употреблению (ранее WYETH-AYERST);63;1,4;3,5;6,39
Заменитель грудного молока, PBM PRODUCTS, бренд-стор, жидкий концентрат, невосстановленный (ранее WYETH-AYERST);130;2,9;7;13,9
Заменитель грудного молока, PBM PRODUCTS, бренд-стор, порошок, (ранее WYETH-AYERST);524;12;28;56
Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, готовый к употреблению, (ранее WYETH-AYERST);63;1,8;3,5;6,09
Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, жидкий концентрат, невосстановленный (ранее WYETH-AYERST);126;3,6;7;12,18
Заменитель грудного молока, PBM PRODUCTS, бренд-стор, соя, порошок, (ранее WYETH-AYERST);508;13,6;27,2;52,2
