Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Курица-гриль, спинка, только мясо;212;21,85;13,87;0,31
Курица, белое мясо, запечённое;153;27,13;4,07;0
Курица, белое мясо, тушеное;213;33,04;7,98;0
Курица, запечённая;223;23,97;13,39;0
Курица, кожа с окорочка, запечённая;462;16,57;43,99;0
Курица, кожа с окорочка, сырая;440;9,58;44,23;0,79
Курица, кожа с окорочка, тушеная;443;14,61;42,76;0
Курица, консервированная, без бульона;185;25,3;8,1;0,9
Курица, консервированная, только мясо, в бульоне;133;22,41;4,69;0,23
Курица, консервированная, только мясо, в воде;129;22,02;4,58;0
Курица, консервированная, только мясо, сухой продукт;162;27,52;5,72;0
Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью;211;19,67;12,67;2,74
Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в конвекционной печи;242;22,24;14,87;2,86
Курица, крылышки, замороженные, глазированные, с ароматизатором барбекью, разогретые в микроволновой печи;248;25,34;13,9;2,94
Курица, подготовленная к жарке, мясо, кожа, потроха и шейки, сырые;213;17,09;15,46;0,09
Курица, подготовленная к жарке, потроха, сырые;127;18,14;5,04;1,14
Курица, подготовленная к жарке, только мясо, сырое;111;20,33;2,7;0
Курица, подготовленная к тушению, мясо и кожа, сырые;258;17,55;20,33;0
Курица, подготовленная к тушению, мясо, кожа, потроха и шейки, сырые;251;17,48;19,52;0,19
Курица, подготовленная к тушению, потроха, сырые;168;17,89;9,21;2,13
Курица, подготовленная к тушению, только мясо, сырое;148;21,26;6,32;0
Курица, потроха и шейки, запечённые;220;23,96;13,07;0,05
Курица, потроха и шейки, тушеные;214;24,88;11,91;0
Курица, потроха, вареные на медленном огне;165;26,77;5,22;0,86
Курица, потроха, вареные на медленном огне;194;25,73;9,3;0,11
Курица, приготовленная к жарке, белое мясо, только мясо, сырое;109;22,2;1,63;0
Курица, приготовленная к жарке, темное мясо, только мясо, сырое;113;18,74;3,61;0
Курица, приготовленная к тушению, белое мясо, только мясо, сырое;137;23,1;4,21;0
Курица, приготовленная к тушению, темное мясо, только мясо, сырое;157;19,7;8,12;0
Курица, темное мясо, запечённое;178;23,25;8,75;0
Курица, темное мясо, тушеное;258;28,14;15,28;0
Курица, только мясо, запечённое;167;25,01;6,63;0
Курица, только мясо, консервированное в бульоне;165;21,77;7,95;0
Курица, только мясо, тушеное;237;30,42;11,89;0
Курица, тушеная;285;26,88;18,87;0
Курица, цыплята-бройлеры;215;18,6;15,06;0
Курица, цыплята-бройлеры  2 кат.;180;19,7;11,2;0
Курица, цыплята-бройлеры 1 кат.;220;18,7;16,1;0
Курица, цыплята-бройлеры, бедро;221;16,52;16,61;0,25
Курица, цыплята-бройлеры, бедро, запечённое;232;23,26;14,71;0
Курица, цыплята-бройлеры, бедро, мясо с кожей тушеное;229;22,57;15,43;0
Курица, цыплята-бройлеры, бедро, обжаренные в кляре;277;21,61;16,53;8,78
Курица, цыплята-бройлеры, бедро, обжаренные в панировке;262;26,75;14,98;3,08
Курица, цыплята-бройлеры, бедро, приготовленное на гриле, оригинальной приправке;233;22,93;15,7;0,02
Курица, цыплята-бройлеры, бедро, тёмное мясо, тушеное;176;24,55;8,63;0
Курица, цыплята-бройлеры, бедро, только мясо;121;19,66;4,12;0
Курица, цыплята-бройлеры, бедро, только мясо, запечённое;179;24,76;8,15;0
Курица, цыплята-бройлеры, бедро, только мясо, обжаренное;218;28,18;10,3;1,18
Курица, цыплята-бройлеры, бедро, только мясо, приготовленное на гриле;196;24,06;11,09;0
Курица, цыплята-бройлеры, бедро, только мясо, тушеное;195;25;9,79;0
Курица, цыплята-бройлеры, бедро, тушеное;232;23,26;14,74;0
Курица, цыплята-бройлеры, белое мясо;114;23,2;1,65;0
Курица, цыплята-бройлеры, белое мясо с кожей;186;20,27;11,07;0
Курица, цыплята-бройлеры, белое мясо с кожей, запечённая;222;29,02;10,85;0
Курица, цыплята-бройлеры, белое мясо с кожей, обжаренные в панировке;246;30,45;12,09;1,72
Курица, цыплята-бройлеры, белое мясо с кожей, приготовленные, обжаренные в кляре;277;23,55;15,44;9,5
Курица, цыплята-бройлеры, белое мясо с кожей, тушеные;201;26,14;9,97;0
Курица, цыплята-бройлеры, белое мясо, запечённое;173;30,91;4,51;0
Курица, цыплята-бройлеры, белое мясо, обжаренное;192;32,82;5,54;0,42
Курица, цыплята-бройлеры, белое мясо, тушеное;159;28,88;3,99;0
Курица, цыплята-бройлеры, голень;161;18,08;9,2;0,11
Курица, цыплята-бройлеры, голень, запечённая;191;23,35;10,15;0
Курица, цыплята-бройлеры, голень, обжаренная в кляре;268;21,95;15,75;7,98
Курица, цыплята-бройлеры, голень, обжаренная в панировке;245;26,96;13,72;1,53
Курица, цыплята-бройлеры, голень, приготовленная на гриле;215;26,86;11,98;0,02
Курица, цыплята-бройлеры, голень, тёмное мясо с кожей, тушеное после предварительной обжаркиое;187;22,72;10,73;0
Курица, цыплята-бройлеры, голень, темное мясо, тушеное после предварительной обжаркиое;149;23,93;5,95;0
Курица, цыплята-бройлеры, голень, только мясо;116;19,41;3,71;0
Курица, цыплята-бройлеры, голень, только мясо, запечённая;155;24,24;5,7;0
Курица, цыплята-бройлеры, голень, только мясо, обжаренное;195;28,62;8,08;0
Курица, цыплята-бройлеры, голень, только мясо, приготовленное на гриле;176;28,74;6,81;0
Курица, цыплята-бройлеры, голень, только мясо, тушеное;169;27,5;5,71;0
Курица, цыплята-бройлеры, голень, тушеная;204;25,32;10,64;0
Курица, цыплята-бройлеры, грудка с кожей;172;20,85;9,25;0
Курица, цыплята-бройлеры, грудка с кожей, запечённая;197;29,8;7,78;0
Курица, цыплята-бройлеры, грудка с кожей, обжаренные в кляре;260;24,84;13,2;8,69
Курица, цыплята-бройлеры, грудка с кожей, обжаренные в панировке;222;31,84;8,87;1,54
Курица, цыплята-бройлеры, грудка с кожей, приготовленная на гриле;184;27,48;8,18;0,02
Курица, цыплята-бройлеры, грудка с кожей, тушеные;184;27,39;7,42;0
Курица, цыплята-бройлеры, грудка, только мясо;120;22,5;2,62;0
Курица, цыплята-бройлеры, грудка, только мясо, жарено-тушеная;157;32,06;3,24;0
Курица, цыплята-бройлеры, грудка, только мясо, запечённая;165;31,02;3,57;0
Курица, цыплята-бройлеры, грудка, только мясо, обжаренное;187;33,44;4,71;0,51
Курица, цыплята-бройлеры, грудка, только мясо, приготовленная на гриле;151;30,54;3,17;0
Курица, цыплята-бройлеры, грудка, только мясо, тушеное;151;28,98;3,03;0
Курица, цыплята-бройлеры, запечённые;239;27,3;13,6;0
Курица, цыплята-бройлеры, крылышки;191;17,52;12,85;0
Курица, цыплята-бройлеры, крылышки, запечённые;254;23,79;16,87;0
Курица, цыплята-бройлеры, крылышки, обжаренные в кляре;324;19,87;21,81;10,64
Курица, цыплята-бройлеры, крылышки, обжаренные в панировке;321;26,11;22,16;2,29
Курица, цыплята-бройлеры, крылышки, приготовленные на гриле;266;24,34;18,77;0,04
Курица, цыплята-бройлеры, крылышки, только мясо;126;21,97;3,54;0
Курица, цыплята-бройлеры, крылышки, только мясо, запечённые;203;30,46;8,13;0
Курица, цыплята-бройлеры, крылышки, только мясо, обжаренное;211;30,15;9,15;0
Курица, цыплята-бройлеры, крылышки, только мясо, приготовленные на гриле;197;27,69;9,53;0
Курица, цыплята-бройлеры, крылышки, только мясо, тушеное;181;27,18;7,18;0
Курица, цыплята-бройлеры, крылышки, тушеные;249;22,78;16,82;0
Курица, цыплята-бройлеры, обжаренные в кляре;289;22,54;17,35;9,12
Курица, цыплята-бройлеры, обжаренные в панировке;269;28,56;14,92;3,05
Курица, цыплята-бройлеры, окорочка;214;16,37;15,95;0,17
Курица, цыплята-бройлеры, окорочка, запечённые;184;24,03;8,99;0
Курица, цыплята-бройлеры, окорочка, обжаренные в кляре;273;21,77;16,17;8,42
Курица, цыплята-бройлеры, окорочка, обжаренные в панировке;254;26,84;14,43;2,4
Курица, цыплята-бройлеры, окорочка, только мясо;120;19,16;4,22;0
Курица, цыплята-бройлеры, окорочка, только мясо, запечённые;174;24,22;7,8;0
Курица, цыплята-бройлеры, окорочка, только мясо, обжаренное;208;28,38;9,32;0,65
Курица, цыплята-бройлеры, окорочка, только мясо, тушеное;185;26,26;8,06;0
Курица, цыплята-бройлеры, окорочка, тушеные;220;24,17;12,92;0
Курица, цыплята-бройлеры, отделенный жир;629;3,73;67,95;0
Курица, цыплята-бройлеры, потроха;124;17,88;4,47;1,8
Курица, цыплята-бройлеры, потроха и шейки;213;18,33;14,83;0,13
Курица, цыплята-бройлеры, потроха и шейки, запечённые;234;26,78;13,27;0,06
Курица, цыплята-бройлеры, потроха и шейки, обжаренные в кляре;291;22,84;17,53;9,03
Курица, цыплята-бройлеры, потроха и шейки, тушеные;216;24,49;12,37;0,06
Курица, цыплята-бройлеры, потроха и шейки,, обжаренные в панировке;272;28,57;15,27;3,27
Курица, цыплята-бройлеры, потроха, вареные на медленном огне;157;27,15;4,5;0
Курица, цыплята-бройлеры, потроха, обжаренные;277;32,54;13,46;4,35
Курица, цыплята-бройлеры, спинки;319;14,05;28,74;0
Курица, цыплята-бройлеры, спинки, запечённые;300;25,95;20,97;0
Курица, цыплята-бройлеры, спинки, обжаренные в кляре;331;21,97;21,91;10,25
Курица, цыплята-бройлеры, спинки, обжаренные в панировке;331;27,79;20,74;6,5
Курица, цыплята-бройлеры, спинки, приготовленные на гриле;260;23,23;18,59;0,03
Курица, цыплята-бройлеры, спинки, только мясо, запечённые;239;28,19;13,16;0
Курица, цыплята-бройлеры, спинки, только мясо, обжаренное;288;29,99;15,32;5,68
Курица, цыплята-бройлеры, спинки, только мясо, приготовленные на гриле;205;25,34;11,54;0
Курица, цыплята-бройлеры, спинки, только мясо, сырое;137;19,56;5,92;0
Курица, цыплята-бройлеры, спинки, только мясо, тушеное;209;25,31;11,19;0
