Продукт;Калорийность кКал;Белки г;Жиры г;Углеводы г
Пудинг, ванильный, быстрого приготовления, приготовленный на цельном молоке;114;2,7;2,9;19,7
Пудинг, ванильный, готовый к употреблению;130;1,45;3,78;22,6
Пудинг, ванильный, готовый к употреблению, обезжиренный;89;2,02;0;20,16
Пудинг, ванильный, обычный, приготовленный на цельном молоке;113;2,8;2,9;18,82
Пудинг, ванильный, сухая смесь, быстрого приготовления;377;0;0,6;92,9
Пудинг, ванильный, сухая смесь, обычный;379;0,3;0,4;92,9
Пудинг, ванильный, сухая смесь, обычный, с доб масла;369;0,3;1,1;92,4
Пудинг, все вкусы, исключая шоколадный, низкокалорийный, быстрого приготовления, сухая смесь;350;0,81;0,9;83,86
Пудинг, все вкусы, исключая шоколадный, низкокалорийный, обычный, сухая смесь;351;1,6;0,1;85,14
Пудинг, из тапиоки, готовый к употреблению;130;1,95;3,88;21,69
Пудинг, из тапиоки, готовый к употреблению, обезжиренный;94;1,44;0,35;21,31
Пудинг, из тапиоки, сухая смесь;369;0,1;0,1;94,1
Пудинг, из тапиоки, сухая смесь, без доб соли;369;0,1;0,1;94,1
Пудинг, лимонный обычный, приготовленный с сахаром, яичным желтком и водой;109;0,65;1,12;24,2
Пудинг, лимонный, сухая смесь, быстрого приготовления;378;0;0,7;95,4
Пудинг, лимонный, сухая смесь, быстрого приготовления, приготовленный на цельном молоке;115;2,7;2,9;20,1
Пудинг, лимонный, сухая смесь, обычный;363;0,1;0,5;91,7
Пудинг, лимонный, сухая смесь, обычный, с доб масла, калия, натрия;366;0,1;1,5;90,2
Пудинг, рисовый, готовый к употреблению;108;3,23;2,15;18,09
Пудинг, рисовый, приготовленный на цельном молоке;121;3,25;2,82;20,58
Пудинг, рисовый, сухая смесь;376;2,7;0,1;90,5
Пудинг, с кокосовым кремом, обычный, приготовленный на цельном молоке;114;3;3,8;17,5
Пудинг, с кокосовым кремом, приготовленный на цельном молоке;117;2,9;3,5;19
Пудинг, с кокосовым кремом, сухая смесь, быстрого приготовления;415;0,9;10;79,5
Пудинг, с кокосовым кремом, сухая смесь, обычный;434;1;11,36;80,24
Пудинг, со вкусом шоколада, низкокалорийный, быстрого приготовления, сухая смесь;356;5,3;2,4;72,1
Пудинг, со вкусом шоколада, низкокалорийный, обычный, сухая смесь;365;10,08;3;64,32
Пудинг, шоколадный, быстрого приготовления, приготовленный на цельном молоке;111;3,1;3,1;17,8
Пудинг, шоколадный, готовый к употреблению;142;2,09;4,6;23,01
Пудинг, шоколадный, готовый к употреблению, обезжиренный;93;1,93;0,3;20,57
Пудинг, шоколадный, приготовленный на цельном молоке;120;3,16;3,15;18,84
Пудинг, шоколадный, сухая смесь, быстрого приготовления;378;2,3;1,9;84,3
